m2,pokoje,rok,cena
28,1,2020,540000
33,2,2021,767050
34,2,2022,679000
34,2,2021,770000
38,2,2017,570000
38,2,2022,789000
38,2,2015,696000
41,2,2015,935000
41,2,2012,670000
42,2,2000,545000
42,2,2015,719628
42,2,2014,720000
43,2,2017,710000
45,3,2000,629000
46,2,2005,610000
48,3,2018,864000
49,2,2008,740000
50,2,2018,750000
50,3,2010,699000
53,2,2011,649000
54,2,2017,959175
55,3,2022,1005843
55,3,2022,1006838
61,3,2022,1000000
67,3,2006,990000
67,3,2013,1100000
100,4,2021,1202650
110,3,2015,1884000
123,6,2020,2600000
